"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","61/1814","224/9392",0.272321428571429,1.40994644825957,3.03816317965091,0.00222024722108709,0.0179334315264172,0.0129131650350403,"115/207/64682/10393/29882/51434/1388/472/545/567/581/595/894/915/996/1019/1147/23373/200186/1871/1958/2874/3112/3113/3122/3123/3126/3134/3265/3600/3559/3560/3561/3683/3725/2648/4055/8379/5605/6416/4214/5595/5599/4316/4487/4773/4776/4790/4791/5296/5533/5567/5925/5970/293/6722/387332/6929/7040/7043/7048",61
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","37/1814","122/9392",0.30327868852459,1.57022791765323,3.10159998176316,0.00223518132068389,0.0179334315264172,0.0129131650350403,"140/207/581/596/624/79603/253782/9846/3265/5605/4217/6300/1432/5595/5599/4790/5296/5331/5338/5523/28227/55012/5526/5528/5579/5581/5970/1901/9294/1903/166929/8879/130367/56848/10558/8717/7186",37
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","37/1814","122/9392",0.30327868852459,1.57022791765323,3.10159998176316,0.00223518132068389,0.0179334315264172,0.0129131650350403,"207/477/478/572/652/595/1734/2626/8841/3091/3265/2648/5605/5595/9969/9282/10025/2475/8648/10499/8202/4854/4855/5208/5211/5214/5296/5331/5333/113026/5567/5579/6257/6548/6772/7067/7249",37
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","43/1814","148/9392",0.290540540540541,1.50427605113382,3.02528639121794,0.00260090712973673,0.020393476358163,0.0146845474310495,"207/10297/8312/581/675/595/1019/1452/28514/1855/1856/1857/1871/2064/8074/2252/7855/8323/8324/8325/10912/3280/23462/26508/3265/3714/3725/51176/4041/5605/5595/2475/8648/8202/4791/4854/4855/5296/51426/5925/6655/83439/51384",43
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","32/1814","103/9392",0.310679611650485,1.60854625833592,3.03826036783794,0.00282924476538391,0.0214072092989981,0.0154144970085845,"207/624/841/6347/915/1147/3576/356/2767/9630/3458/3459/3553/3654/51135/3725/6416/6300/1432/5595/5599/4790/5296/5331/5970/5054/7040/7043/7048/7097/7099/10333",32
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","31/1814","99/9392",0.313131313131313,1.62123996302607,3.0401588411838,0.00285429457319975,0.0214072092989981,0.0154144970085845,"115/207/572/581/596/595/1019/1565/28514/1871/2064/2852/1839/3265/3714/3725/5605/6300/1432/5595/5599/4313/4318/2475/8202/4854/4855/5296/5567/5925/6655",31
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","36/1814","120/9392",0.3,1.55325248070562,2.98417675145606,0.0031169000505305,0.0228793727113409,0.0164745445000045,"207/396/572/581/596/27018/808/814/356/3265/3654/11213/51135/3725/5605/5609/4214/4217/6300/1432/5595/5598/5599/9261/4790/4793/4804/5296/5781/5970/8767/6195/27330/25970/6655/7161",36
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","9/1814","18/9392",0.5,2.58875413450937,3.30086477291675,0.00328708782140859,0.0229175165310935,0.016502010377843,"175/64772/2517/2519/3074/284004/4125/4123/4126",9
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","24/1814","72/9392",0.333333333333333,1.72583608967291,3.02478221899587,0.00334954024500622,0.0229175165310935,0.016502010377843,"9474/843/841/1147/3627/3576/1540/64135/3661/3665/4214/6885/6300/1432/5599/4790/4793/5300/5970/10010/9755/8717/7186/7187",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","31/1814","100/9392",0.31,1.60502756339581,2.97589648869765,0.00338780679155295,0.0229175165310935,0.016502010377843,"6362/6347/6354/1230/2826/729230/1235/1236/1435/6376/2919/3627/10563/2920/2921/6372/3576/4283/3577/3579/7852/643/3587/8807/3559/3560/3561/4055/5196/5473/8743",31
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","31/1814","100/9392",0.31,1.60502756339581,2.97589648869765,0.00338780679155295,0.0229175165310935,0.016502010377843,"930/914/952/915/1604/925/1378/1379/1380/1435/1441/2057/2208/2209/2323/3112/3113/3122/3123/3126/3590/3553/3559/3574/3575/3672/3675/3676/3655/4311/7037",31
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","41/1814","142/9392",0.288732394366197,1.49491435936457,2.90737212026544,0.00364991526023008,0.0242157839380649,0.0174368421338927,"64682/10393/29882/51434/330/57448/996/997/64326/8454/8452/6923/55120/26232/26272/55294/51343/8925/9817/55958/4214/23295/4281/4734/8554/51588/5371/6502/9320/55236/7325/140739/7326/51465/9040/55585/27338/55284/7337/9354/51366",41
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","25/1814","77/9392",0.324675324675325,1.68100917825284,2.93564921092617,0.00413362650318705,0.0266986343078312,0.0192246459089189,"207/572/581/675/595/1019/1147/1871/2064/10912/5595/5599/2475/4790/5296/5338/51426/10928/5925/5970/6772/7040/7043/7048/7422",25
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","18/1814","50/9392",0.36,1.86390297684675,2.99658983766796,0.00417891667426923,0.0266986343078312,0.0192246459089189,"2826/940/942/7852/3112/3113/3122/3123/3126/29851/23308/3600/3676/4055/7040/608/8741/10673",18
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","33/1814","110/9392",0.3,1.55325248070562,2.85559223025776,0.00452872545584993,0.0281977748585142,0.020304118586146,"207/230/596/1536/1906/112398/112399/1978/6923/2026/2064/3091/3458/3459/92483/4055/5605/5595/2872/2475/4790/5163/5211/5214/5296/5579/5970/5054/7010/7018/7037/7099/7422",33
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","57/1814","213/9392",0.267605633802817,1.38553038185009,2.7845048996317,0.00457703012196172,0.0281977748585142,0.020304118586146,"207/164/8905/130340/27350/472/545/567/572/581/596/808/836/841/915/1147/8454/7852/6923/356/2767/2783/2790/3134/3265/3654/51135/3661/3708/3709/3725/3984/3985/5605/5609/6885/6300/1432/5595/5599/2475/4773/4776/4790/10298/5296/5533/5579/2185/5970/10454/7097/7099/8717/7186/7188/494551",57
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","21/1814","62/9392",0.338709677419355,1.75367215563538,2.91296156670077,0.00474995603013327,0.0284843787829823,0.0205104909009423,"6868/83464/28514/196403/1855/1856/1857/3280/23462/26508/3714/2648/3955/9612/4854/4855/9253/11317/5986/7089/7091",21
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","90/1814","362/9392",0.248618784530387,1.28722581273947,2.72666094910125,0.00478867817221152,0.0284843787829823,0.0205104909009423,"207/1388/572/596/10018/595/894/930/11140/1019/1147/1284/1286/1291/1292/256076/1297/1298/1299/200186/1435/1441/54541/1943/1978/2057/2064/356/8074/2252/2323/2783/2790/2997/3265/3326/3455/3481/3559/3560/3561/3574/3575/3672/3675/3676/3655/3679/3717/3911/3913/2846/57121/10161/9863/5605/5595/2475/4790/4804/3164/9180/5154/5155/118788/5294/5296/5585/5586/29941/5523/28227/55012/5526/5528/5970/6446/6655/6696/6794/6850/8115/7010/7060/7097/7099/7148/7249/7422/7423",90
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","44/1814","157/9392",0.280254777070064,1.45102142571226,2.78821212168639,0.00489068022142672,0.02859804536258,0.0205923377744283,"6868/240/203859/196527/383/23200/286410/10396/558/9564/682/836/9023/6376/1847/1849/1850/9844/2057/26762/3091/3717/5605/6300/1432/5595/9261/4773/4776/7376/4953/5175/5467/5743/5781/1901/8578/6446/10326/55423/54896/56848/7040/23355",44
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","116/1814","483/9392",0.240165631469979,1.24345954286993,2.6877145928671,0.00506434613893706,0.0291199902988881,0.0209681699787569,"11047/10297/22926/23130/55102/513/11273/8312/572/581/596/203228/776/808/823/836/841/1340/1346/1435/1452/1460/1536/1616/1639/10540/1649/79139/1742/146754/1769/10126/1855/1856/1857/9451/356/7855/8323/8324/8325/2876/2878/2893/2906/3265/3553/3708/3709/64837/89953/4041/120892/84557/5605/5609/4294/4217/6300/1432/5595/5599/4508/4509/4512/4513/4514/4519/4535/4536/4537/4538/4539/4540/4541/2475/126328/4696/56901/4716/4713/4720/374291/4723/4729/4744/4790/29982/30849/65018/5331/5533/5579/5630/5684/5691/5702/5705/5710/9861/5743/116442/9821/5970/6261/293/80208/10010/7186/7326/51465/8408/10975/55255/51384/7494",116
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","54/1814","201/9392",0.26865671641791,1.39097237078115,2.74132151491992,0.00521046877862334,0.0294215092971262,0.021185282056817,"79058/466/472/581/64919/597/330/55589/894/905/942/1025/100532731/3576/1649/1655/84444/1848/2120/2209/10912/3002/3087/8091/3207/3398/3560/221037/3728/4208/4298/4314/4318/4790/64332/4804/26471/5079/5154/5371/51426/5546/5914/5970/861/6257/85414/6760/6929/7030/7048/51384/7709/6935",54
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","6/1814","10/9392",0.6,3.10650496141125,3.26070893259898,0.0052873436997734,0.0294215092971262,0.021185282056817,"54928/23474/4357/9061/9060/8991",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","40/1814","142/9392",0.28169014084507,1.45845303352641,2.69318022988286,0.00643653339610571,0.035247682883436,0.0253804825644268,"92/207/596/652/808/6347/1147/1514/1906/2817/2949/2950/2953/3326/3458/3553/3725/9817/6416/5609/4217/6885/6300/1432/5598/5599/4208/4313/4318/4790/5154/5155/5175/51588/5296/5970/6382/6401/25828/7422",40
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","28/1814","93/9392",0.301075268817204,1.55881969389812,2.64967320960587,0.00805581563884487,0.0434258811781481,0.0312692843876215,"207/581/596/330/836/595/1019/1147/1284/1286/1871/10912/3675/3655/3911/3913/4790/5296/51426/5743/5925/5970/6257/6502/7186/7187/7188/7709",28
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","43/1814","157/9392",0.273885350318471,1.41804366603698,2.58434378188975,0.00828577330671644,0.0439783352433411,0.031667085026479,"207/472/545/776/808/823/595/894/1019/3576/1871/1875/1978/10912/2626/3134/3265/3708/3709/132660/5605/6300/1432/5595/9261/2475/4605/4683/4773/4776/4790/5296/5533/83593/5925/5970/6237/5054/293/7040/7043/7048/7249",43
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","24/1814","77/9392",0.311688311688312,1.61376881112273,2.64579389471101,0.00859790059370243,0.0448072052810869,0.0322639220330633,"207/572/581/595/1019/1147/1871/9846/10912/3265/5605/5595/2122/4790/5296/51426/5781/5925/5970/861/6655/7040/7043/7048",24
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","21/1814","65/9392",0.323076923076923,1.6727334407599,2.66272286474718,0.00870168914154441,0.0448072052810869,0.0322639220330633,"207/776/8912/2550/9568/2767/2852/57657/3265/3708/3709/3760/3763/3782/3783/5605/5595/5296/5331/5579/6696",21
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","51/1814","193/9392",0.264248704663212,1.36814985347127,2.52830950984779,0.00911820254959499,0.0462614688177981,0.0333110805217402,"115/207/572/9564/6362/6347/6354/1230/2826/729230/1235/1236/1147/6376/2919/3627/10563/2920/2921/6372/3576/4283/3577/3579/7852/643/1794/9844/2783/2790/6011/157/2869/3265/3702/3717/4067/5595/4790/4793/5196/5294/5296/5331/5473/5567/5579/2185/5970/6655/6772",51
